scenario,design,dev_frac,n_systems_total,n_events_total,n_events_eval,power_d0.10,power_d0.15,power_d0.20,P_negl_d0,P_negl_d0.05,false_meaningful_d0,ci_width_d0.10,cover95_d0.10,faE_eval_d0.10,gate_pass
A_accessible_now,cv5,0.6,421,89,89.0,0.604,0.896,0.99,0.71,0.306,0.012,0.1562343880840014,0.944,0.9966659794061452,False
A_accessible_now,holdout,0.5,421,89,45.0,0.434,0.688,0.904,0.482,0.182,0.018,0.2148310520380287,0.934,0.996349890633046,False
A_accessible_now,holdout,0.7,421,89,26.0,0.274,0.446,0.66,0.372,0.172,0.01,0.2772594138027667,0.93,0.9889806386893586,False
B_fisheries_proxy_only,cv5,0.6,170,43,43.0,0.398,0.658,0.816,0.338,0.14,0.032,0.2315990670886735,0.914,0.9982542212200768,False
B_fisheries_proxy_only,holdout,0.5,170,43,21.0,0.196,0.362,0.52,0.206,0.084,0.024,0.3207654192224931,0.926,1.0076717285322012,False
B_fisheries_proxy_only,holdout,0.7,170,43,13.0,0.06,0.166,0.288,0.364,0.248,0.008,0.3688951133258239,0.824,1.0141854370829742,False
C_RAMfull_x3_only,cv5,0.6,510,129,129.0,0.668,0.954,,0.692,0.21,0.016,0.1356171269909512,0.918,0.9950370962507092,False
C_RAMfull_x3_only,holdout,0.5,510,129,65.0,0.534,0.84,0.958,0.446,0.152,0.05,0.1911421655829102,0.922,0.990192364690736,False
C_RAMfull_x3_only,holdout,0.7,510,129,39.0,0.418,0.644,0.828,0.288,0.086,0.05,0.2466378878604898,0.936,0.9945239210149432,False
D_RAMfull_x3+FishGlob+GPDD,holdout,0.5,761,175,89.0,,,,0.692,,0.006,,,,False
